Img_id,Leaf_pixel_ratio,Edge_pixel_ratio,EXG,EXR,VARI,Variety,FreshWeightShoot,DryWeightShoot,Height,Diameter,LeafArea,DMC
40,0.02685897435897433,0.0019182692307692095,-0.08161999737161994,0.30820384304974174,-0.38982384042136176,Salanova,4.2,0.43,7.0,17.5,149.6,0.10238095238095238
41,0.024245192307692287,0.0019198717948717414,-0.11655260520137603,0.30447273524638535,-0.4210253404477614,Salanova,4.6,0.54,9.0,16.8,174.9,0.1173913043478261
42,0.029684294871794914,0.0020689102564102058,-0.10786867496350315,0.29923918376582687,-0.4071078587293301,Salanova,5.2,0.58,9.8,17.2,202.7,0.11153846153846153
43,0.027336538461538495,0.0022115384615384315,-0.10476519938698299,0.29763983193145577,-0.40240503131843874,Salanova,3.9,0.46,8.6,17.2,140.8,0.11794871794871796
44,0.01717948717948714,0.0018157051282051695,0.24210232154319322,0.14294550019068133,0.09915682135251193,Aphylion,6.5,0.74,5.3,19.5,144.3,0.11384615384615385
45,0.02915705128205126,0.002855769230769245,0.25453007721683013,0.14618436159448672,0.1083457156223434,Aphylion,8.4,0.83,6.0,17.5,191.4,0.0988095238095238
46,0.016549679487179447,0.0017067307692307798,0.21439903733124757,0.15154414329593113,0.06285489403531644,Aphylion,5.5,0.56,6.5,20.8,133.3,0.10181818181818182
47,0.01560256410256411,0.0017804487179486905,0.24523526697526038,0.15396713155948416,0.09126813541577623,Aphylion,4.5,0.45,6.3,11.0,105.0,0.1
48,0.013235576923076975,0.0013894230769230242,0.24109855910692576,0.14635324866507182,0.09474531044185396,Aphylion,4.2,0.37,6.5,15.7,105.7,0.08809523809523809
49,0.028049679487179513,0.0026426282051281724,0.2613147762345193,0.13909925826759809,0.12221551796692125,Aphylion,7.1,0.63,7.5,13.4,140.8,0.08873239436619719
50,0.021092948717948756,0.0017500000000000293,0.25827068011767124,0.14179807602777433,0.11647260408989688,Aphylion,6.7,0.53,7.0,16.0,162.5,0.0791044776119403
51,0.03008333333333335,0.002394230769230732,0.25465680564063925,0.13903935561469577,0.11561745002594351,Aphylion,8.3,0.65,8.0,15.0,201.3,0.0783132530120482
52,0.02384455128205132,0.0023878205128204932,0.25595916673016283,0.14962954810935136,0.10632961862081147,Aphylion,6.8,0.5,7.8,14.6,158.9,0.07352941176470588
53,0.029108974358974304,0.002583333333333382,0.25993316529773514,0.12994509401404064,0.12998807128369447,Aphylion,8.6,0.86,5.8,19.6,196.5,0.1
54,0.028030448717948686,0.0022451923076922675,0.2803378335079083,0.12752557725132,0.15281225625658837,Aphylion,9.1,0.77,7.5,18.3,210.9,0.08461538461538462
55,0.042421474358974365,0.0035048076923076543,0.27674357163344,0.12570973650486716,0.1510338351285728,Aphylion,10.4,0.88,7.2,16.5,234.2,0.0846153846153846
56,0.027269230769230823,0.002496794871794883,-0.22098648809281832,0.3997003193568238,-0.6206868074496421,Satine,5.0,0.48,6.5,14.4,135.7,0.096
57,0.03682852564102568,0.002358974358974364,-0.15838446332292808,0.37126469367264664,-0.5296491569955747,Satine,7.3,0.5,8.8,10.3,191.2,0.0684931506849315
58,0.022418269230769283,0.0023926282051282,-0.15567042568375877,0.3642984904774551,-0.5199689161612139,Satine,4.0,0.32,6.2,13.5,129.8,0.08
59,0.034748397435897416,0.0024150641025640907,-0.15826182328018157,0.38301045813474727,-0.5412722814149288,Satine,6.2,0.45,7.0,13.5,161.0,0.07258064516129033
60,0.02549519230769226,0.0018637820512820147,-0.16361414479609784,0.3864023331245567,-0.5500164779206544,Satine,3.9,0.28,7.2,13.1,119.5,0.0717948717948718
61,0.023782051282051242,0.0019567307692307523,-0.20732912560696443,0.4109912349731909,-0.6183203605801554,Satine,3.3,0.24,5.2,13.0,89.0,0.07272727272727272
62,0.03081250000000002,0.0026955128205128354,-0.14936620766988815,0.37947258363570896,-0.5288387913055971,Satine,6.0,0.43,6.0,13.9,175.5,0.07166666666666667
63,0.03640544871794871,0.003458333333333341,-0.1448714401089552,0.38130281330450855,-0.5261742534134638,Satine,6.0,0.45,5.5,19.2,159.8,0.075
64,0.02837660256410257,0.002270833333333333,-0.11760055159196686,0.3548350587669793,-0.47243561035894616,Satine,6.0,0.43,6.0,12.0,161.6,0.07166666666666667
65,0.028516025641025622,0.0020753205128205554,-0.13540409318146093,0.365511845929615,-0.5009159391110759,Satine,5.3,0.41,5.7,13.5,157.6,0.07735849056603773
66,0.027907051282051287,0.0024342948717949175,-0.15361799203980123,0.37431274964470423,-0.5279307416845055,Satine,4.6,0.37,7.0,10.6,138.1,0.08043478260869566
67,0.025716346153846104,0.0020224358974358925,-0.1579879823731311,0.3755799735127943,-0.5335679558859255,Satine,4.8,0.33,5.3,13.0,145.0,0.06875
68,0.06353365384615384,0.009738782051282091,0.2697198141477593,0.14236983116212115,0.12734998298563818,Lugano,23.2,1.75,6.1,17.8,472.1,0.07543103448275862
69,0.060504807692307705,0.009863782051282022,0.29739834845772234,0.16344292076129474,0.13395542769642768,Lugano,30.4,1.83,6.3,16.0,628.8,0.06019736842105264
70,0.06252403846153842,0.010673076923076952,0.2830146182327077,0.16345339463748865,0.119561223595219,Lugano,26.5,1.82,7.3,19.5,536.2,0.06867924528301887
71,0.056267628205128206,0.00842467948717951,0.2935473849774564,0.15919115720868432,0.13435622776877215,Lugano,22.8,1.54,6.2,16.5,469.6,0.06754385964912281
72,0.0665272435897436,0.011584935897435922,0.2883549221822722,0.17987549298891278,0.1084794291933594,Lugano,29.5,2.04,6.5,16.2,596.8,0.06915254237288136
73,0.0778509615384615,0.013030448717948673,0.312158382342982,0.17967505828102037,0.1324833240619616,Lugano,36.0,2.33,6.8,15.8,703.3,0.06472222222222222
74,0.07863301282051283,0.011118589743589702,0.29341862326544316,0.1811167579499654,0.11230186531547777,Lugano,30.6,2.36,7.4,21.0,599.6,0.07712418300653594
75,0.0711298076923077,0.010761217948717983,0.28926227088457285,0.17887074130395947,0.1103915295806134,Lugano,28.8,1.83,7.0,20.0,581.9,0.06354166666666666
76,0.07266666666666666,0.010310897435897415,0.2700142583848141,0.16788141214462685,0.1021328462401872,Lugano,31.0,1.68,9.3,18.0,638.0,0.05419354838709677
77,0.06552884615384613,0.010682692307692254,0.29912294353642654,0.15538836513201623,0.1437345784044103,Lugano,29.9,2.24,7.0,17.0,583.2,0.07491638795986623
78,0.07266826923076919,0.010091346153846104,0.292539020671345,0.15768556519249383,0.13485345547885114,Lugano,33.1,1.97,9.0,18.5,657.4,0.05951661631419939
79,0.07483333333333331,0.010334935897435948,0.2801089181867674,0.16237809624325283,0.11773082194351456,Lugano,30.3,1.92,8.8,20.2,582.3,0.06336633663366337
80,0.04829647435897433,0.006764423076923043,0.26014992274137433,0.16421700586497795,0.09593291687639639,Lugano,17.9,1.46,6.1,17.0,346.3,0.08156424581005588
81,0.059395833333333314,0.007927884615384628,0.28926996229523805,0.15815610323569984,0.1311138590595382,Lugano,23.2,1.6,8.1,17.1,492.9,0.06896551724137931
82,0.06839423076923079,0.009572115384615332,0.26721665133496086,0.16294625628966464,0.10427039504529623,Lugano,34.6,2.13,8.2,18.0,642.5,0.061560693641618494
83,0.05015064102564104,0.007197115384615427,0.28562013507229617,0.15951063967030893,0.1261094954019872,Lugano,17.9,1.1,7.8,17.1,388.7,0.06145251396648046
84,0.08188461538461533,0.003649038461538412,-0.040097524274758836,0.2958457402599652,-0.3359432645347241,Salanova,16.4,1.22,6.8,18.5,520.1,0.07439024390243903
85,0.049708333333333354,0.0028477564102563635,-0.038801750593519035,0.2626203271885594,-0.30142207778207847,Salanova,17.9,1.47,6.1,16.5,465.3,0.08212290502793297
86,0.04804166666666665,0.0028621794871794837,-0.02785341011958494,0.2730845786832779,-0.3009379888028628,Salanova,12.5,1.01,5.4,17.4,412.3,0.0808
87,0.06836698717948719,0.0037083333333333135,0.014163750989664051,0.2746898401241399,-0.2605260891344759,Salanova,18.8,1.31,7.3,22.1,578.5,0.06968085106382979
88,0.08000801282051284,0.0036987179487179,-0.06494677998453104,0.3102064657645595,-0.3751532457490905,Salanova,21.1,1.76,5.7,21.5,620.8,0.08341232227488152
89,0.09560576923076924,0.004629807692307697,-0.012448647726760591,0.2968320607649339,-0.3092807084916945,Salanova,22.6,1.6,8.7,23.4,696.1,0.07079646017699115
90,0.0923525641025641,0.0043958333333333766,-0.016107137610234433,0.29502025999206655,-0.31112739760230096,Salanova,28.9,1.94,7.0,22.0,902.4,0.0671280276816609
91,0.07872275641025639,0.004096153846153805,-0.004562772866827607,0.30511088816297416,-0.3096736610298018,Salanova,16.2,1.14,8.0,18.8,524.2,0.07037037037037036
92,0.06448237179487182,0.0029166666666666785,-0.0240314168875648,0.26492110416294595,-0.2889525210505107,Salanova,19.4,1.53,9.0,20.3,654.3,0.07886597938144331
93,0.07105769230769232,0.003958333333333286,0.020610473205112046,0.2641026918879688,-0.24349221868285678,Salanova,17.0,1.24,8.9,21.0,562.2,0.07294117647058823
94,0.07342307692307692,0.003578525641025676,0.024452549302749767,0.2611134966741086,-0.23666094737135884,Salanova,14.5,1.01,8.5,21.2,427.9,0.0696551724137931
95,0.07981089743589742,0.003916666666666679,0.05672042430126121,0.24557088363561963,-0.18885045933435848,Salanova,19.1,1.28,7.4,22.3,569.3,0.06701570680628272
96,0.05932532051282047,0.003338141025641006,-0.02371385179547189,0.28601470738472357,-0.30972855918019543,Salanova,16.0,1.56,6.6,18.6,470.8,0.0975
97,0.06530448717948723,0.003028846153846132,-0.04360362100497388,0.2903406599522694,-0.3339442809572432,Salanova,18.6,1.62,5.7,19.5,578.2,0.08709677419354839
98,0.05467307692307688,0.0026746794871794766,-0.07028023573583904,0.3057115552751813,-0.3759917910110203,Salanova,10.3,0.93,7.8,17.0,330.6,0.09029126213592233
99,0.09559134615384612,0.004459935897435874,0.035847451882667955,0.2759997446894505,-0.24015229280678246,Salanova,27.3,1.91,6.5,24.5,773.2,0.06996336996336996
100,0.04745352564102567,0.0045336538461538956,0.30564357453679436,0.1274178817115996,0.17822569282519474,Aphylion,23.2,1.23,7.1,20.0,475.0,0.05301724137931035
101,0.05160897435897438,0.005660256410256359,0.2988149529215047,0.1389940323935904,0.15982092052791425,Aphylion,24.9,1.79,6.5,16.0,486.3,0.07188755020080322
102,0.050320512820512864,0.005349358974358953,0.28824849864867275,0.14140557595681816,0.1468429226918546,Aphylion,26.3,1.99,7.0,18.0,509.9,0.07566539923954373
103,0.05950160256410253,0.00631730769230765,0.293598893914514,0.14314420125970842,0.1504546926548056,Aphylion,28.3,1.89,6.5,21.6,554.1,0.06678445229681979
104,0.053583333333333316,0.00571153846153849,0.3119375072277257,0.1435808910754827,0.16835661615224298,Aphylion,27.9,1.76,6.6,19.5,520.0,0.06308243727598567
105,0.06483012820512823,0.006224358974359023,0.3094023345143216,0.14093183830595843,0.1684704962083632,Aphylion,34.0,2.1,8.7,19.3,480.4,0.061764705882352944
106,0.07351923076923073,0.008532051282051256,0.3199148638385735,0.15280473623249421,0.1671101276060792,Aphylion,37.0,1.98,8.6,20.1,675.5,0.053513513513513515
107,0.04591025641025637,0.005307692307692347,0.304034823073439,0.14356438468546864,0.16047043838797037,Aphylion,20.8,1.15,7.3,15.0,436.8,0.05528846153846153
108,0.058235576923076904,0.005105769230769219,0.31053723877513745,0.11605800343381342,0.1944792353413241,Aphylion,24.5,1.7,8.1,16.3,543.5,0.06938775510204082
109,0.055198717948718,0.006072115384615384,0.305896461435777,0.12241728779370005,0.18347917364207697,Aphylion,27.8,1.84,8.2,20.6,637.7,0.06618705035971223
110,0.05837179487179489,0.005701923076923077,0.3083540829388494,0.11739152202307798,0.1909625609157714,Aphylion,22.9,1.42,7.8,16.8,513.1,0.06200873362445415
111,0.07356410256410262,0.007450320512820463,0.31221497017263594,0.1312322923870943,0.18098267778554164,Aphylion,38.2,2.25,10.3,20.6,831.8,0.05890052356020942
112,0.06939262820512826,0.006347756410256422,0.317829557929124,0.12595920764734497,0.191870350281779,Aphylion,31.3,2.11,8.4,17.8,670.9,0.06741214057507987
113,0.05394391025641021,0.0058766025641026065,0.29541849330133874,0.13597404334146396,0.15944444995987486,Aphylion,24.9,2.09,7.5,18.6,518.4,0.08393574297188755
114,0.050839743589743636,0.0056698717948717725,0.3123167563123501,0.13236836300217925,0.17994839331017087,Aphylion,26.7,2.24,7.0,20.1,561.3,0.08389513108614233
115,0.06596634615384611,0.006378205128205083,0.31978447656828,0.12056006159231139,0.19922441497596863,Aphylion,32.3,2.05,9.2,21.5,679.4,0.06346749226006192
116,0.054363782051282006,0.004157051282051238,-0.12637166714188244,0.3962969604726502,-0.5226686276145326,Satine,20.4,1.28,6.0,17.0,445.9,0.06274509803921569
117,0.05716826923076923,0.004125000000000045,-0.09621336413892544,0.3771394751047455,-0.47335283924367094,Satine,20.4,1.15,6.8,17.5,428.9,0.056372549019607844
118,0.05587660256410254,0.003817307692307703,-0.12193739580865237,0.39991346436890784,-0.5218508601775602,Satine,23.0,1.28,7.0,16.0,598.7,0.05565217391304348
119,0.06824679487179486,0.004847756410256365,-0.07149715370072546,0.3709408055198392,-0.4424379592205647,Satine,27.5,1.51,7.5,18.4,561.1,0.05490909090909091
120,0.053035256410256415,0.0036041666666666305,-0.11871216242609929,0.40910478158873936,-0.5278169440148386,Satine,17.1,1.08,7.1,17.0,407.2,0.06315789473684211
121,0.05466506410256411,0.004177884615384597,-0.12004812219834803,0.40347309302036544,-0.5235212152187135,Satine,21.1,1.4,6.2,17.1,428.0,0.06635071090047392
122,0.06843750000000004,0.0042756410256410415,-0.09825942925916109,0.40139472590560443,-0.4996541551647655,Satine,23.2,1.36,7.5,18.1,452.3,0.05862068965517242
123,0.05227403846153844,0.003389423076923026,-0.0747501420520801,0.3712241321671723,-0.4459742742192524,Satine,18.9,1.12,7.9,18.5,437.6,0.05925925925925927
124,0.060607371794871745,0.004447115384615397,-0.021848279787889984,0.31875508102692,-0.34060336081481,Satine,23.0,1.36,8.0,19.6,526.1,0.0591304347826087
125,0.058834935897435936,0.003834935897435887,-0.03034397425823013,0.32330458753712477,-0.3536485617953549,Satine,22.3,1.36,8.4,17.0,538.2,0.0609865470852018
126,0.06499358974358971,0.003823717948717942,-0.0170698158302523,0.32487575377359085,-0.34194556960384315,Satine,26.4,1.48,8.8,19.1,606.7,0.05606060606060606
127,0.06798717948717947,0.005578525641025678,-0.007306620728962319,0.31471332138274694,-0.32201994211170926,Satine,25.0,1.39,7.0,19.1,599.7,0.0556
128,0.07253205128205131,0.004753205128205096,-0.1254737929801122,0.38864648809245494,-0.5141202810725672,Satine,35.5,2.12,7.8,18.3,735.8,0.05971830985915493
129,0.05800160256410258,0.0037580128205128016,-0.07551387556793315,0.36938547755782847,-0.4448993531257617,Satine,22.3,1.29,8.5,18.1,492.4,0.05784753363228699
130,0.06789102564102567,0.004708333333333314,-0.037796255839101324,0.3506684250133495,-0.38846468085245084,Satine,30.6,1.68,8.4,18.0,689.2,0.05490196078431372
131,0.07971153846153844,0.004993589743589766,-0.08027825082392825,0.38007378677838366,-0.46035203760231186,Satine,31.2,1.76,8.7,20.1,714.4,0.05641025641025641
132,0.0758878205128205,0.012716346153846203,0.29829398547627073,0.1483959883925899,0.14989799708368082,Lugano,45.6,2.37,11.6,18.5,1721.5,0.05197368421052632
133,0.10436698717948723,0.018743589743589695,0.3184606715604178,0.14854619678414263,0.16991447477627517,Lugano,85.1,3.62,10.8,20.6,1777.8,0.04253819036427733
134,0.11835897435897436,0.022815705128205077,0.33312883145671995,0.14720763975049816,0.1859211917062218,Lugano,75.9,4.17,9.3,23.2,1228.3,0.05494071146245059
135,0.0953301282051282,0.0185657051282051,0.3133299706452237,0.1537345700011025,0.15959540064412125,Lugano,66.9,3.25,10.6,19.4,1062.9,0.04857997010463378
136,0.04891185897435901,0.007392628205128204,0.2815201531308352,0.15186791456801546,0.12965223856281974,Lugano,25.8,1.61,9.8,15.2,502.0,0.0624031007751938
137,0.09734935897435892,0.01598237179487183,0.3185547082229358,0.14404488697200485,0.17450982125093095,Lugano,72.2,3.12,12.9,22.1,1209.4,0.043213296398891966
138,0.06284294871794871,0.011828525641025656,0.2840615472971784,0.15702621712620496,0.1270353301709735,Lugano,35.0,1.99,10.1,16.5,685.5,0.056857142857142856
139,0.05663621794871798,0.010338141025641012,0.30447546197737085,0.1454894634738361,0.15898599850353481,Lugano,32.1,1.95,8.9,16.5,553.8,0.06074766355140186
140,0.09955448717948723,0.014649038461538422,0.32268530175356924,0.14714859691517776,0.17553670483839146,Lugano,60.9,2.83,11.6,19.0,960.6,0.0464696223316913
141,0.1131650641025641,0.018318910256410303,0.30980446526774624,0.15635612264137594,0.15344834262637033,Lugano,78.3,3.25,12.0,21.6,1189.5,0.041507024265644954
142,0.10020512820512817,0.018636217948717948,0.30741033276334023,0.14459417370483427,0.16281615905850594,Lugano,60.9,2.67,11.2,21.0,1003.6,0.0438423645320197
143,0.10754487179487182,0.022187500000000027,0.32558112977993153,0.15138094620956316,0.17420018357036837,Lugano,87.4,4.24,10.6,20.3,1243.7,0.04851258581235698
144,0.10048717948717945,0.01760256410256411,0.3020811382809611,0.15006087372422583,0.1520202645567353,Lugano,73.2,3.74,11.5,19.5,1143.7,0.051092896174863386
145,0.12376923076923074,0.019791666666666652,0.30800560159805795,0.15119057205477657,0.15681502954328128,Lugano,86.2,3.54,13.3,22.3,1399.8,0.04106728538283062
146,0.12228205128205127,0.024354166666666677,0.3396611670923241,0.1422119489419795,0.19744921815034455,Lugano,85.5,4.3,10.4,21.3,1217.1,0.050292397660818715
147,0.11041185897435901,0.019705128205128153,0.31774718679816427,0.15456667201853586,0.16318051477962847,Lugano,85.6,3.46,13.7,22.1,1548.0,0.04042056074766355
148,0.1375977564102564,0.007299679487179467,0.1285027054065658,0.2104135639022629,-0.08191085849569714,Salanova,63.2,3.75,11.3,24.2,1721.5,0.05933544303797468
149,0.10017628205128204,0.006700320512820546,0.12320138231059641,0.2065434115491541,-0.08334202923855769,Salanova,33.5,2.11,11.0,23.1,928.8,0.06298507462686567
150,0.1293461538461539,0.007974358974358942,0.11594417064910245,0.22492641567885274,-0.10898224502975028,Salanova,55.2,3.09,11.3,27.2,1466.6,0.05597826086956521
151,0.13112980769230764,0.007004807692307713,0.03799331365987715,0.2362824986957933,-0.1982891850359161,Salanova,69.8,4.16,9.0,25.1,1694.3,0.05959885386819485
152,0.16260416666666666,0.008528846153846192,0.17481396747095881,0.20356293688090754,-0.028748969409948723,Salanova,73.5,3.86,11.3,28.5,1866.7,0.05251700680272109
153,0.1428445512820513,0.0068749999999999645,0.10426074552786131,0.23515732742309062,-0.13089658189522924,Salanova,56.0,2.96,12.5,24.5,1554.8,0.05285714285714286
154,0.12863301282051287,0.006197115384615426,0.05768565353629309,0.2382701012622681,-0.18058444772597507,Salanova,60.3,3.38,12.1,24.6,1674.7,0.0560530679933665
155,0.13273397435897438,0.006964743589743638,0.14541800655390189,0.20757515120098508,-0.06215714464708321,Salanova,39.8,2.23,11.3,24.9,1082.6,0.05603015075376885
156,0.12040224358974361,0.006352564102564129,0.18574418016069993,0.187241996189471,-0.0014978160287710672,Salanova,47.2,2.41,13.1,25.0,1115.5,0.051059322033898305
157,0.1551410256410256,0.007758012820512805,0.18151920787671044,0.20201281584033504,-0.020493607963624656,Salanova,47.1,2.59,12.8,26.2,1321.3,0.05498938428874734
158,0.14587820512820515,0.008645833333333353,0.11689260649563799,0.21398786522387184,-0.09709525872823382,Salanova,62.3,3.64,11.0,23.7,1600.9,0.058426966292134834
159,0.16894230769230767,0.010863782051282023,0.1977641844364937,0.1882594728720345,0.009504711564459185,Salanova,55.0,3.07,13.2,26.6,1466.2,0.055818181818181815
160,0.11769711538461536,0.005115384615384633,0.11908812075643035,0.2258470994533064,-0.10675897869687606,Salanova,47.8,2.52,12.2,23.4,1255.1,0.05271966527196653
161,0.11178846153846156,0.006637820512820469,0.10724019918839604,0.2234672498196279,-0.11622705063123187,Salanova,50.4,2.81,10.3,24.3,1214.1,0.05575396825396826
162,0.15031089743589743,0.009600961538461572,0.16313316807995185,0.20179581364276628,-0.03866264556281446,Salanova,60.4,3.71,12.5,27.1,1769.8,0.06142384105960265
163,0.1373830128205128,0.006858974358974312,0.053430805168606176,0.2483069717217166,-0.1948761665531104,Salanova,57.6,0.36,9.8,25.3,1451.8,0.0062499999999999995
164,0.1164983974358974,0.013831730769230721,0.32709154651536054,0.13814523371738247,0.18894631279797805,Aphylion,94.0,4.48,13.4,21.9,1670.0,0.04765957446808511
165,0.0849647435897436,0.008748397435897393,0.34738710864079786,0.12848303430892669,0.2189040743318712,Aphylion,62.7,2.85,13.5,20.1,1106.1,0.045454545454545456
166,0.11022115384615383,0.01664583333333336,0.34867527196840764,0.13110840621559214,0.2175668657528155,Aphylion,99.7,4.59,13.9,22.0,1678.9,0.04603811434302908
167,0.08621314102564104,0.01255448717948715,0.3469038113840961,0.12756570327800565,0.21933810810609042,Aphylion,72.8,3.99,11.3,19.4,1221.1,0.054807692307692314
168,0.099073717948718,0.01086217948717949,0.3430931380230753,0.1291713321595734,0.21392180586350185,Aphylion,74.3,3.46,13.1,19.5,1318.9,0.046567967698519515
